,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,Unnamed: 10,RainStatus,SnowStatus,weatherType,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
30,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/31/14,4.92,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",1,",,W,",,,39,",,W",25,",,W",,,260,",,W",260,",,W",14.1,",,W",21,",,W",,,,,,,,,,
31,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/1/14,3.58,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",1,",,W,",,,45,",,W",36,",,W",,,180,",,W",190,",,W",13,",,W",19,",,W",,,,,,,,,1,",,W"
32,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/2/14,3.13,",,W",,,,0,0,0,0,"T,,W,2400",0,",,W,",1,",,W,",,,56,",,W",39,",,W",,,360,",,W",360,",,W",10.1,",,W",15,",,W",,,,,,,,,1,",,W"
33,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/3/14,6.71,",,W",,,,1,1,1,1.17,",,W,2400",8,",,W,",1,",,W,",,,43,",,W",27,",,W",,,20,",,W",20,",,W",10.1,",,W",16.1,",,W",,,,,,,,,,
34,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/4/14,2.24,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",8,",,W,",,,35,",,W",22,",,W",,,60,",,W",,,6.9,",,W",,,,,,,,,,,1,",,W"
35,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/5/14,7.16,",,W",,,,1,1,1,1.43,",,W,2400",4,",,W,",9,",,W,",,,34,",,W",29,",,W",,,60,",,W",70,",,W",15,",,W",28,",,W",,,,,,,,,,
36,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/6/14,4.03,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",9,",,W,",,,32,",,W",21,",,W",,,310,",,W",310,",,W",13,",,W",19,",,W",,,,,,,,,,
37,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/7/14,6.71,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",9,",,W,",,,32,",,W",24,",,W",,,280,",,W",270,",,W",15,",,W",23.9,",,W",,,,,,,,,,
38,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/8/14,4.92,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",9,",,W,",,,29,",,W",21,",,W",,,280,",,W",270,",,W",12.1,",,W",17,",,W",,,,,,,,,,
39,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/9/14,3.58,",,W",,,,1,1,1,0.1,",,W,2400",1.2,",,W,",8,",,W,",,,31,",,W",21,",,W",,,270,",,W",270,",,W",12.1,",,W",19.9,",,W",,,,,,,,,,
